transaction_id,customer_id,amount,transaction_timestamp
t001,c001,100.50,2023-02-10T10:00:00Z
t002,c002,75.00,2023-02-12T11:30:00Z
t003,c001,50.25,2023-02-15T14:00:00Z
t004,c003,250.00,2023-02-20T09:00:00Z
t005,c004,120.75,2023-03-01T18:00:00Z
t006,c002,25.50,2023-03-05T12:00:00Z
t007,c001,300.00,2023-03-10T16:45:00Z
t008,c005,80.00,2023-03-12T13:00:00Z
t009,c006,95.20,2023-04-02T11:00:00Z
t010,c003,150.00,2023-04-05T10:30:00Z
t011,c001,25.00,2023-04-08T19:00:00Z
t012,c010,500.00,2023-05-25T20:00:00Z
t013,c009,220.00,2023-05-28T14:20:00Z
t014,c001,10.00,2023-05-30T15:00:00Z
